MangaID,Title,Type,Volumes,Members,Score,Author,CoverMedium,CoverLarge
103989,Kaichou wa Maid-sama!: Marriage,Manga,1,19390,8.25,Fujiwara,https://cdn.myanimelist.net/images/manga/2/210825.jpg,https://cdn.myanimelist.net/images/manga/2/210825l.jpg
107548,Steins;Gate 0,Manga,6,6938,8.25,Himeno,https://cdn.myanimelist.net/images/manga/1/208537.jpg,https://cdn.myanimelist.net/images/manga/1/208537l.jpg
108495,NieR:Automata,Novel,3,13722,8.25,Eishima,https://cdn.myanimelist.net/images/manga/2/243834.jpg,https://cdn.myanimelist.net/images/manga/2/243834l.jpg
112807,The Dangers in My Heart,Manga,NULL,68596,8.25,Sakurai,https://cdn.myanimelist.net/images/manga/3/213349.webp,https://cdn.myanimelist.net/images/manga/3/213349l.webp
113555,King's Maker,Manhwa,3,15127,8.25,Haga,https://cdn.myanimelist.net/images/manga/2/222761.jpg,https://cdn.myanimelist.net/images/manga/2/222761l.jpg
130331,Shangri-La Frontier,Manga,NULL,33034,8.25,Fuji,https://cdn.myanimelist.net/images/manga/3/235471.jpg,https://cdn.myanimelist.net/images/manga/3/235471l.jpg
110031,Summertime Rendering,Manga,13,62228,8.24,Tanaka,https://cdn.myanimelist.net/images/manga/3/261167.jpg,https://cdn.myanimelist.net/images/manga/3/261167l.jpg
112115,Act-age,Manga,12,56542,8.24,Matsuki,https://cdn.myanimelist.net/images/manga/2/209753.jpg,https://cdn.myanimelist.net/images/manga/2/209753l.jpg
119022,The Eminence in Shadow,Manga,NULL,89589,8.24,Sakano,https://cdn.myanimelist.net/images/manga/3/227280.jpg,https://cdn.myanimelist.net/images/manga/3/227280l.jpg
140295,"She Loves to Cook, and She Loves to Eat",Manga,NULL,9136,8.24,Yuzaki,https://cdn.myanimelist.net/images/manga/1/250171.jpg,https://cdn.myanimelist.net/images/manga/1/250171l.jpg
140409,Lullaby of the Dawn,Manga,NULL,5672,8.24,Yuno,https://cdn.myanimelist.net/images/manga/2/265253.jpg,https://cdn.myanimelist.net/images/manga/2/265253l.jpg
160303,The Ramparts of Ice,Manga,14,5717,8.24,Agasawa,https://cdn.myanimelist.net/images/manga/3/296537.jpg,https://cdn.myanimelist.net/images/manga/3/296537l.jpg
128,Pet Shop of Horrors,Manga,10,38052,8.24,Akino,https://cdn.myanimelist.net/images/manga/5/212566.jpg,https://cdn.myanimelist.net/images/manga/5/212566l.jpg
348,Genshiken,Manga,21,44558,8.24,Kio,https://cdn.myanimelist.net/images/manga/3/161681.jpg,https://cdn.myanimelist.net/images/manga/3/161681l.jpg
373,Immortal Rain,Manga,11,21536,8.24,Ozaki,https://cdn.myanimelist.net/images/manga/1/198155.jpg,https://cdn.myanimelist.net/images/manga/1/198155l.jpg
481,Planetes,Manga,4,63895,8.24,Yukimura,https://cdn.myanimelist.net/images/manga/3/170572.jpg,https://cdn.myanimelist.net/images/manga/3/170572l.jpg
1649,Liar Game,Manga,19,126754,8.24,Kaitani,https://cdn.myanimelist.net/images/manga/2/149018.jpg,https://cdn.myanimelist.net/images/manga/2/149018l.jpg
2924,Historié,Manga,NULL,28878,8.24,Iwaaki,https://cdn.myanimelist.net/images/manga/2/167504.jpg,https://cdn.myanimelist.net/images/manga/2/167504l.jpg
3009,JoJo's Bizarre Adventure Part 6: Stone Ocean,Manga,17,218840,8.24,Araki,https://cdn.myanimelist.net/images/manga/2/255379.jpg,https://cdn.myanimelist.net/images/manga/2/255379l.jpg
5651,Crows,Manga,26,30239,8.24,Takahashi,https://cdn.myanimelist.net/images/manga/1/257945.jpg,https://cdn.myanimelist.net/images/manga/1/257945l.jpg
17910,Yomawari Sensei,Manga,9,18574,8.24,Mizutani,https://cdn.myanimelist.net/images/manga/2/185367.jpg,https://cdn.myanimelist.net/images/manga/2/185367l.jpg
24308,No.6,Manga,9,52286,8.24,Asano,https://cdn.myanimelist.net/images/manga/2/184479.jpg,https://cdn.myanimelist.net/images/manga/2/184479l.jpg
26144,The Daily Lives of High School Boys,Manga,7,28197,8.24,Yamauchi,https://cdn.myanimelist.net/images/manga/3/200703.jpg,https://cdn.myanimelist.net/images/manga/3/200703l.jpg
34841,5 Centimeters per Second,Novel,1,6651,8.24,Shinkai,https://cdn.myanimelist.net/images/manga/3/281622.jpg,https://cdn.myanimelist.net/images/manga/3/281622l.jpg
39883,Assassination Classroom,Manga,21,169419,8.24,Matsui,https://cdn.myanimelist.net/images/manga/3/243932.jpg,https://cdn.myanimelist.net/images/manga/3/243932l.jpg
