Title,Type,Volumes,Members,Score
Bakuon Rettou,Manga,18,10257,8.13
Tokidoki Bosotto Russia-go de Dereru Tonari no Aalya-san,Light-Novel,NULL,10146,8.13
Amaama to Inazuma,Manga,12,23728,8.13
Tonari no Kaibutsu-kun,Manga,13,104819,8.13
Mahou Shoujo Ikusei Keikaku,Light-Novel,NULL,4911,8.13
Seven Days,Manga,2,54912,8.13
NG Life,Manga,9,11558,8.13
Ultra Heaven,Manga,3,16629,8.13
Ookami Kodomo no Ame to Yuki,Novel,1,1987,8.13
Baby Steps,Manga,47,24710,8.13
Sakigake!! Cromartie Koukou,Manga,17,13114,8.12
Chrno Crusade,Manga,8,27537,8.12
Ginga Nagareboshi Gin,Manga,18,4164,8.12
Anemone wa Netsu wo Obiru,Manga,NULL,5863,8.12
Cheese in the Trap Season 3,Manhwa,12,8881,8.12
Higurashi no Naku Koro ni: Onikakushi-hen,Manga,2,24544,8.12
Akagi: Yami ni Oritatta Tensai,Manga,36,11252,8.12
Katekyo Hitman Reborn!,Manga,42,120076,8.12
"Hikaeme ni Ittemo, Kore wa Ai",Manga,NULL,7489,8.12
Rosario to Vampire: Season II,Manga,14,65256,8.12
Sabishisugite Lesbian Fuuzoku ni Ikimashita Report,Manga,1,46278,8.12
Kuroko no Basket,Manga,30,74030,8.12
Hikaru no Go,Manga,23,44472,8.12
Kono Sekai no Katasumi ni,Manga,3,7323,8.12
Why Raeliana Ended Up at the Duke's Mansion,Manhwa,NULL,27367,8.12
Re:Zero kara Hajimeru Isekai Seikatsu: Dai-3 Shou - Truth of Zero,Manga,11,10982,8.12
Yahari Ore no Seishun Love Comedy wa Machigatteiru. @comic,Manga,NULL,7590,8.12
Cheese in the Trap Season 4,Manhwa,7,8003,8.12
Boku no Chikyuu wo Mamotte,Manga,21,11259,8.11
One Room Angel,Manga,1,4751,8.11
Ran to Haiiro no Sekai,Manga,7,27912,8.11
Kindaichi Shounen no Jikenbo: File Series,Manga,27,6323,8.11
Mystery to Iu nakare,Manga,NULL,5609,8.11
Shuumatsu no Walküre,Manga,NULL,126277,8.11
Dai Densetsu no Yuusha no Densetsu,Light-Novel,NULL,2942,8.11
Donten ni Warau,Manga,6,22348,8.11
Magi: Sinbad no Bouken,Manga,19,33259,8.11
Majin Tantei Nougami Neuro,Manga,23,19515,8.11
Hokuto no Ken,Manga,27,41273,8.11
Pocket Monsters Special,Manga,NULL,48017,8.11
Wild Adapter,Manga,7,7942,8.11
Rokujouma no Shinryakusha!NULL,Light-Novel,NULL,5173,8.11
See You in My 19th Life,Manhwa,NULL,6079,8.11
Girls & Panzer: Ribbon no Musha,Manga,16,3030,8.11
Noblesse,Manhwa,NULL,104349,8.11
Hitori Koukan Nikki,Manga,2,15382,8.11
Getter Robo Go,Manga,7,3171,8.11
Her Tale of Shim Chong,Manhwa,7,6494,8.1
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Manga,16,92357,8.1
Shijou Saikyou no Deshi Kenichi,Manga,61,67962,8.1
Ore Monogatari!!,Manga,13,32446,8.1
Kaze to Ki no Uta,Manga,17,8091,8.1
Ouran Koukou Host Club University Special,Manga,NULL,7422,8.1
Aishiteru Game wo Owarasetai,Manga,NULL,11373,8.1
The Ravages of Time,Manhua,NULL,13139,8.1
Karakai Jouzu no (Moto) Takagi-san,Manga,NULL,43252,8.1
Fate/stay night: Garden of Avalon,Light-Novel,1,3651,8.1
Hakumei to Mikochi,Manga,NULL,7590,8.1
K: Memory of Red,Manga,3,10770,8.1
X,Manga,18,23935,8.1
Runway de Waratte,Manga,22,15504,8.1
Higurashi no Naku Koro ni - Dai 1-wa: Onikakushi-hen,Light-Novel,2,1986,8.1
Kocchi Muite! Miiko,Manga,NULL,1098,8.1
Hidamari ga Kikoeru: Koufukuron,Manga,1,6190,8.1
Saraiya Goyou,Manga,8,8641,8.1
Gantz,Manga,37,221946,8.1
Girl Friends,Manga,5,46197,8.1
Boku no Hero Academia,Manga,NULL,422550,8.1
Kase-san Series,Manga,5,31854,8.1
Koukou Debut,Manga,15,64341,8.1
Ikoku Nikki,Manga,NULL,4173,8.09
Orange,Light-Novel,3,9047,8.09
Gekijouban Mahou Shoujo Madoka★Magica: Shinpen - Hangyaku no Monogatari,Manga,3,7047,8.09
Jujutsu Kaisen 0: Tokyo Toritsu Jujutsu Koutou Senmon Gakkou,Manga,1,89316,8.09
One Piece: Strong World,One-shot,NULL,15163,8.09
Beauty Pop,Manga,10,27425,8.09
Karakai Jouzu no Takagi-san,Manga,NULL,74928,8.09
Byousoku 5 Centimeter,Novel,1,5115,8.09
Vagrant Soldier Ares,Manhwa,26,15347,8.09
Soul Eater,Manga,25,180703,8.09
Mahou Shoujo Madoka★Magica,Manga,3,37681,8.08
Ore to Akuma no Blues,Manga,NULL,19400,8.08
Yamada-kun to Lv999 no Koi wo Suru,Manga,NULL,34666,8.08
Shaman King Kanzenban,Manga,NULL,14993,8.08
Kekkai Sensen: Back 2 Back,Manga,10,4152,8.08
Hitoribocchi no ○○ Seikatsu,Manga,8,23675,8.08
A Stepmother's Märchen,Manhwa,NULL,11167,8.08
Shigurui,Manga,15,26682,8.08
Telework Yotabanashi,Manga,1,8354,8.08
"Owari no Seraph: Ichinose Guren, 16-sai no Catastrophe",Light-Novel,7,8260,8.08
Jibaku Shounen Hanako-kun 0,Manga,1,9314,8.08
Bokurano,Manga,11,31820,8.08
Gunslinger Girl,Manga,15,23943,8.08
Ponkotsu Ponko,Manga,10,9027,8.08
Oboreru Knife,Manga,17,6945,8.07
Five Star Stories,Manga,NULL,5432,8.07
Hyouka,Manga,NULL,17392,8.07
Fate/stay night: Heaven's Feel,Manga,NULL,7907,8.07
Kimi no Yoru ni Fureru,Manga,1,1178,8.07
Gokusen,Manga,15,16517,8.07
Hotarubi no Mori e,Manga,1,20050,8.07
Naruto,Manga,72,401030,8.07
Gangsta.,Manga,NULL,63602,8.07
Your Letter,Manhwa,1,10618,8.07
Cheese in the Trap Season 2,Manhwa,9,9516,8.07
Kokoro Connect,Light-Novel,11,10822,8.07
Dogs: Bullets & Carnage,Manga,10,34347,8.07
Gabai: Saga no Gabai Baachan,Manga,11,1722,8.06
Kingdom Hearts: 358/2 Days,Manga,5,11083,8.06
Saenai Heroine no Sodatekata,Light-Novel,13,9650,8.06
Tanaka-kun wa Itsumo Kedaruge,Manga,13,27012,8.06
Adekan,Manga,NULL,9730,8.06
Suki na Ko ga Megane wo Wasureta,Manga,NULL,32060,8.06
Let Dai,Manhwa,15,9111,8.06
D.Gray-man: Reverse,Light-Novel,3,6082,8.06
Gakkougurashi!,Manga,12,51933,8.06
Steins;Gate: Eigou Kaiki no Pandora,Manga,1,3203,8.06
Yamamoto Zenjirou to Moushimasu,Manga,5,6589,8.06
Noragami: Shuuishuu,Manga,NULL,10961,8.06
Ginga Tetsudou 999 (1996),Manga,7,2250,8.06
The Remarried Empress,Manhwa,NULL,18818,8.06
Koi dano Ai dano,Manga,11,11745,8.06
Higurashi no Naku Koro ni: Tatarigoroshi-hen,Manga,2,13480,8.06
Oooku,Manga,19,9506,8.06
Baraou no Souretsu,Manga,17,17146,8.06
Winter Woods,Manhwa,7,8454,8.06
Tobaku Datenroku Kaiji,Manga,13,11459,8.06
Houkago Shounen Hanako-kun,Manga,NULL,6046,8.06
Zense Coupling,Manga,7,7941,8.06
Ashita no Ousama,Manga,10,4023,8.06
Saihate no Paladin,Light-Novel,NULL,8054,8.05
Higurashi no Naku Koro ni - Dai 3-wa: Tatarigoroshi-hen,Light-Novel,2,1353,8.05
Heesu in Class 2,Manhwa,4,5188,8.05
Chuunibyou demo Koi ga Shitai!,Light-Novel,4,9150,8.05
Gosick,Light-Novel,9,6317,8.05
Clannad: Hikaru Mimamoru Sakamichi de,Manga,2,3408,8.05
The Legend of the Sun Knight,Light-Novel,8,3053,8.05
Yamada-kun to 7-nin no Majo,Manga,28,114619,8.05
Steins;Gate,Manga,3,25005,8.05
Romance 101,Manhwa,11,4155,8.05
Vassalord.,Manga,7,15649,8.05
Nekota no Koto ga Kininatte Shikatanai.,Manga,10,11171,8.05
Ningen Shikkaku,Manga,3,34552,8.05
Boku no Kokoro no Yabai Yatsu,Manga,NULL,35542,8.05
Worst,Manga,33,13283,8.05
Subete no Jinrui wo Hakai suru. Sorera wa Saisei Dekinai.,Manga,NULL,16467,8.05
Saiyuuki Reload Blast,Manga,NULL,4077,8.05
Josee to Tora to Sakana-tachi,Manga,2,4762,8.05
Medaka Box Gaiden: Good Loser Kumagawa,Light-Novel,2,3703,8.05
Chichi no Koyomi,Manga,1,5386,8.05
Log Horizon,Light-Novel,NULL,13708,8.04
Chi no Wadachi,Manga,NULL,93547,8.04
Re:Zero kara Hajimeru Isekai Seikatsu: Dai-2 Shou - Yashiki no Isshuukan-hen,Manga,5,13343,8.04
Zoku Hoshi Mamoru Inu,Manga,1,5896,8.04
Restart wa Onaka wo Sukasete,Manga,1,2805,8.04
Shinsetsu Ookami to Koushinryou: Ookami to Youhishi,Light-Novel,NULL,5576,8.04
Imouto sae Ireba Ii.,Light-Novel,14,9354,8.04
Devilman,Manga,5,50847,8.04
Ouran Koukou Host Club Short Special,One-shot,NULL,5941,8.04
Kagerou Daze,Light-Novel,8,12339,8.04
"""Bungaku Shoujo"" Series",Light-Novel,8,6653,8.04
Buttobi Itto,Manga,26,701,8.04
Full Moon wo Sagashite,Manga,7,36508,8.04
Rough,Manga,12,6394,8.04
About Death,Manhwa,2,13134,8.04
Hidamari Sketch,Manga,NULL,6572,8.04
Seiyuu Ka!,Manga,12,14936,8.03
Vampire Juujikai,Manga,9,12583,8.03
Boku no Hatsukoi wo Kimi ni Sasagu,Manga,12,21257,8.03
Voynich Hotel,Manga,3,30715,8.03
Omoide Emanon,Manga,1,58389,8.03
Gokinjo Monogatari,Manga,7,10769,8.03
Ghost Hunt: Akumu no Sumu Ie,Manga,3,4289,8.03
Mahou Shoujo Madoka★Magica,Light-Novel,2,3567,8.03
Tokidoki,One-shot,NULL,43611,8.03
Detroit Metal City,Manga,10,14382,8.03
Sunadokei,Manga,10,14573,8.02
Senryuu Shoujo,Manga,13,30107,8.02
Shigeshoushi,Manga,7,13554,8.02
Moribito Series,Light-Novel,10,2976,8.02
Blue Lock: Episode Nagi,Manga,NULL,5894,8.02
Pandora Hearts: Caucus Race,Light-Novel,3,4669,8.02
Toradora!,Manga,NULL,36907,8.02
Shoukoku no Altair,Manga,NULL,12919,8.02
Saint Seiya: The Lost Canvas - Meiou Shinwa Gaiden,Manga,16,4857,8.02
Tsubaki-chou Lonely Planet,Manga,14,44269,8.02
Tekkon Kinkreet,Manga,3,13865,8.02
Ao no Flag,Manga,8,59417,8.02
Toshokan Sensou: Love & War,Manga,15,7181,8.02
Kingyosou,Manga,2,8464,8.02
Unmei no Hito ni Deau Hanashi,Manga,NULL,5771,8.02
Mushoku Tensei: Isekai Ittara Honki Dasu - Shitsui no Majutsushi-hen,Manga,NULL,2589,8.02
Kakeochi Girl,Manga,3,8024,8.02
Viral Hit,Manhwa,NULL,14826,8.02
Aoharu x Kikanjuu,Manga,18,15547,8.02
Shuumatsu Nani Shitemasu kaNULL Isogashii desu kaNULL Sukutte Moratte Ii desu kaNULL Ex,Light-Novel,1,2184,8.02
Usemono Yado,Manga,3,8223,8.02
Hanbun no Tsuki ga Noboru Sora,Light-Novel,8,2381,8.01
Mudazumonaki Kaikaku,Manga,16,8841,8.01
Majo to Yajuu,Manga,NULL,8524,8.01
Mahoutsukai no Yoru,Light-Novel,1,4396,8.01
Hidamari no Ki,Manga,11,1251,8.01
MeruPuri: Märchen☆Prince,Manga,4,23352,8.01
10 Dance,Manga,NULL,6565,8.01
Sono Bisque Doll wa Koi wo Suru,Manga,NULL,138326,8.01
Saiyuuki,Manga,9,17145,8.01
Doupo Cangqiong,Manhua,NULL,21754,8.01
Kanata no Astra,Manga,5,18380,8.01
Life,Manga,20,17540,8.01
Fate/strange Fake,Manga,NULL,8119,8.01
Super Lovers,Manga,NULL,22933,8.01
No Game No Life: Practical War Game,Light-Novel,1,3576,8.0
Chichikogusa,Manga,8,6415,8.0
Tokyo Babylon,Manga,7,19565,8.0
Touhou Suichouka: Lotus Eater-tachi no Suisei,Manga,NULL,1513,8.0
Sumire♡16-sai!!,Manga,5,6661,8.0
Cesare: Hakai no Souzousha,Manga,13,6313,8.0
Tokyo Ghoul,Light-Novel,3,14206,8.0
Hori-san to Miyamura-kun,Manga,10,14095,8.0
Steins;Gate: Onshuu no Brownian Motion,Manga,2,4838,8.0
Seitokai Yakuindomo,Manga,22,22462,8.0
Kono Subarashii Sekai ni Shukufuku wo! Spin-off: Kono Kamen no Akuma ni Soudan wo!,Light-Novel,1,3827,8.0
Uruwashi no Yoi no Tsuki,Manga,NULL,16577,8.0
"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",Manga,NULL,8728,7.99
Sakamoto Days,Manga,NULL,76601,7.99
Higurashi no Naku Koro ni - Dai 2-wa: Watanagashi-hen,Light-Novel,2,1475,7.99
Bokura ga Ita,Manga,16,47689,7.99
Boku no Hero Academia the Movie: Heroes:Rising,Light-Novel,1,2235,7.99
Giant Killing,Manga,NULL,12108,7.99
Hypnosis Mic: Before The Battle - The Dirty Dawg,Manga,4,2497,7.99
Ginga Tetsudou 999,Manga,18,2684,7.99
Slayers,Light-Novel,NULL,3989,7.99
Saenai Heroine no Sodatekata: Koisuru Metronome,Manga,10,10749,7.99
Candy Candy,Manga,9,4358,7.99
Golden Days,Manga,8,4415,7.99
Strobe Edge,Manga,10,63859,7.99
Ranma ½,Manga,38,48724,7.99
Sword Art Online,Light-Novel,NULL,60538,7.99
Koukaku Kidoutai: The Ghost in the Shell,Manga,1,37509,7.99
Yowamushi Pedal,Manga,NULL,14105,7.99
Kekkaishi,Manga,35,29182,7.99
Overlord,Manga,NULL,41713,7.99
Kono Subarashii Sekai ni Shukufuku wo!,Manga,NULL,22147,7.99
Shinigami wo Tabeta Shoujo,Light-Novel,2,2873,7.99
Semantic Error,Manhwa,NULL,3996,7.98
Itou Junji Jisen Kessakushuu,Manga,1,5072,7.98
Kubera,Manhwa,NULL,13421,7.98
Kimi no Na wa. Another Side: Earthbound,Light-Novel,1,6527,7.98
Nurarihyon no Mago,Manga,25,41556,7.98
Super no Ura de Yani Suu Futari,Manga,NULL,19820,7.98
Positively Yours,Manhwa,8,4733,7.98
Yahari Ore no Seishun Love Comedy wa Machigatteiru.: Monologue,Manga,NULL,9915,7.98
Kimi ga Shinu made Koi wo Shitai,Manga,NULL,6138,7.98
Sakurasou no Pet na Kanojo,Light-Novel,13,16057,7.98
School Rumble,Manga,22,28928,7.98
Ajin,Manga,17,124063,7.98
Colette wa Shinu Koto ni Shita,Manga,20,10214,7.98
Watashi no Shiawase na Kekkon,Manga,NULL,11823,7.98
Haruka na Machi e,Manga,2,19985,7.98
"Maoyuu Maou Yuusha: 'Kono Ware no Mono to Nare, Yuusha yo' 'Kotowaru!'",Manga,18,16445,7.98
Rakudai Kishi no Cavalry,Light-Novel,NULL,16337,7.98
Mekakushi no Kuni,Manga,9,10021,7.98
Kattobi Itto,Manga,46,1012,7.98
Doraemon Plus,Manga,6,1618,7.97
Leviathan,Manhwa,NULL,4822,7.97
High School DxD DX,Light-Novel,NULL,2585,7.97
Kanshikan Tsunemori Akane,Manga,6,12893,7.97
Tsuki no Shippo,Manga,15,11034,7.97
Planetarian: Chiisana Hoshi no Yume,Light-Novel,1,1510,7.97
Reimei no Arcana,Manga,13,42425,7.97
Sword Art Online: Project Alicization,Manga,5,7076,7.97
Kyoukai no Kanata,Light-Novel,3,6821,7.97
Penguin Kakumei,Manga,7,9685,7.97
Tenshi Nanka ja Nai,Manga,8,6260,7.97
Museru kurai no Ai wo Ageru,Manga,NULL,4881,7.97
Karneval,Manga,28,34646,7.97
Jitsu wa Watashi wa,Manga,22,45429,7.97
Nijiiro Days,Manga,16,39071,7.97
Gekijouban One Piece: Stampede,Light-Novel,1,1634,7.97
Id,Manhwa,29,12842,7.97
Beast Master,Manga,2,59752,7.97
Shoot!,Manga,33,1012,7.97
Deep Love: Ayu no Monogatari,Manga,2,17701,7.97
Weak Hero,Manhwa,NULL,20539,7.97
Kami nomi zo Shiru Sekai,Light-Novel,2,4062,7.97
Tate no Yuusha no Nariagari,Light-Novel,NULL,45366,7.97
Yamato Nadeshiko Shichihenge♥,Manga,36,26554,7.97
Kimi wa Pet,Manga,14,21275,7.97
Kimi to Tsuzuru Utakata,Manga,NULL,7018,7.97
Gekiga Hyouryuu,Manga,2,6175,7.97
D-Frag!,Manga,NULL,29467,7.97
Lookism,Manhwa,NULL,48640,7.97
Nano Machine,Manhwa,NULL,13459,7.97
Senyuu.,Manga,2,5217,7.96
Code Geass: Hangyaku no Lelouch,Light-Novel,5,3991,7.96
Kubikiri Asa,Manga,10,6790,7.96
Subaru,Manga,11,5796,7.96
Cheese in the Trap Season 1,Manhwa,6,24939,7.96
Touhou Kourindou: Curiosities of Lotus Asia.,Light-Novel,1,2618,7.96
Hyakki Yakoushou,Manga,NULL,3147,7.96
Sasameki Koto,Manga,9,21730,7.96
Shinrei Tantei Yakumo,Manga,14,19290,7.96
Seikai no Monshou,Light-Novel,3,1841,7.96
Bokutachi ga Yarimashita,Manga,9,21156,7.96
Dragon Quest: Dai no Daibouken,Manga,37,11424,7.96
GTO: Paradise Lost,Manga,NULL,15737,7.96
Kaijuu no Kodomo,Manga,5,15030,7.96
Ludwig Kakumei,Manga,4,12370,7.96
Psyren,Manga,16,91319,7.96
Skill of Lure,Manhwa,7,20563,7.96
Himegimi to Sanbiki no Kemono,Manga,4,8435,7.96
Hajimari no Niina,Manga,4,14884,7.95
Fools,Manhwa,4,5320,7.95
Clannad: Tomoyo After,Manga,1,7617,7.95
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Light-Novel,2,2657,7.95
Tsuki ga Michibiku Isekai Douchuu,Light-Novel,NULL,8630,7.95
4 Cut Hero,Manhwa,NULL,9836,7.95
Oda Nobuna no Yabou,Light-Novel,22,3737,7.95
Kobayashi-san Chi no Maid Dragon,Manga,NULL,42408,7.95
Tobaku Haouden Zero,Manga,8,6179,7.95
Namaikizakari.,Manga,23,72927,7.95
Toaru Majutsu no Index SS,Light-Novel,2,4232,7.95
Crayon Shin-chan,Manga,50,5434,7.95
Tengen Toppa Gurren Lagann,Manga,10,13197,7.95
Spiral: Suiri no Kizuna,Manga,15,12024,7.95
SSS-Class Revival Hunter,Manhwa,NULL,17926,7.95
Shiki,Manga,11,19996,7.95
Boys Run the Riot,Manga,4,13992,7.95
Karakuri Circus,Manga,43,7608,7.95
Deadman Wonderland,Manga,13,195959,7.95
My Home Hero,Manga,NULL,26614,7.95
The Fable: The Second Contact,Manga,NULL,2989,7.94
Kobato.,Manga,6,20642,7.94
Eien no With,Manga,1,5655,7.94
Hatenkou Yuugi,Manga,NULL,6868,7.94
Queen's Quality,Manga,NULL,10760,7.94
Dr. Frost,Manhwa,NULL,11607,7.94
L Change the WorLd,Light-Novel,1,20148,7.94
Witch of Mine,Manhwa,4,4347,7.94
One Piece Novel: A,Light-Novel,2,3591,7.94
Lost in the Cloud,Manhwa,NULL,2821,7.94
Comic Showa-shi,Manga,8,2160,7.94
Trinity Blood: Rage Against the Moons,Light-Novel,6,4457,7.94
Hitori-tachi,Manga,1,4623,7.94
Touhou Bougetsushou: Cage in Lunatic Runagate.,Light-Novel,1,2178,7.94
Bartender,Manga,21,16212,7.94
Tetsugaku Letra,Manga,6,16905,7.94
Shi ga Futari wo Wakatsu made,Manga,26,29298,7.94
Niehime to Kemono no Ou,Manga,15,13989,7.94
Ousama Ranking,Manga,NULL,7815,7.94
5-toubun no Hanayome,Manga,14,161188,7.94
Shinohayu: the Dawn of Age,Manga,NULL,1450,7.94
Nabari no Ou,Manga,14,22039,7.94
Tokyo卍Revengers,Manga,31,216300,7.93
Shakugan no Shana,Light-Novel,22,8063,7.93
Black Jack ni Yoroshiku,Manga,13,5177,7.93
Seireitsukai no Blade Dance,Light-Novel,20,8322,7.93
Goblin Slayer Gaiden: Year One,Manga,NULL,24087,7.93
Byousoku 5 Centimeter,Manga,2,30167,7.93
Ookami Shounen wa Kyou mo Uso wo Kasaneru,Manga,5,35695,7.93
Hellper,Manhwa,18,11782,7.93
Angel Beats!: Heaven's Door,Manga,11,19623,7.93
Mahoraba,Manga,12,6290,7.93
Haikyuu-bu!!,Manga,NULL,4290,7.93
Ruler of the Land,Manhwa,NULL,8130,7.93
Hypnosis Mic: Division Rap Battle - side F.P & M,Manga,3,1630,7.93
Shokugeki no Souma,Manga,36,175296,7.93
Nousatsu Junkie,Manga,16,12324,7.93
Sword Art Online: Progressive,Manga,7,20416,7.93
Be Blues! Ao ni Nare,Manga,49,4711,7.93
Aqua,Manga,2,17423,7.93
Sun-Ken Rock,Manga,25,105726,7.93
Iris Zero,Manga,NULL,39285,7.93
Kiss yori mo Hayaku,Manga,12,39739,7.93
Tengoku Daimakyou,Manga,NULL,18626,7.93
Kouya no Tenshidomo,Manga,3,2521,7.93
Maoujou de Oyasumi,Manga,NULL,19130,7.93
Owari no Chronicle,Light-Novel,14,2543,7.93
Little Busters!,Manga,2,3586,7.93
Mahou Sensei Negima!,Manga,38,72668,7.93
Operation: True Love,Manhwa,NULL,6788,7.93
Takane to Hana,Manga,18,28320,7.93
½ Prince,Light-Novel,9,7247,7.93
Soredemo Sekai wa Utsukushii,Manga,25,23624,7.93
Tomodachi no Hanashi,Manga,1,14840,7.92
Tomo-chan wa Onnanoko!,Manga,8,118707,7.92
Gomashio to Pudding,Manga,3,9293,7.92
Bokura no Kiseki,Manga,NULL,13961,7.92
Tokyo卍Revengers: Baji Keisuke kara no Tegami,Manga,NULL,3151,7.92
Ame no Hi no Iris,Light-Novel,1,4405,7.92
Fukakai na Boku no Subete wo,Manga,5,15493,7.92
New York New York,Manga,4,2864,7.92
No Game No Life,Manga,2,29302,7.92
07-Ghost,Manga,17,33122,7.92
Saiyaku wa Boku wo Suki Sugiru,Manga,NULL,5214,7.92
Satougashi no Dangan wa Uchinukenai: A Lollypop or A Bullet,Manga,2,15420,7.92
Kagerou Daze,Manga,13,38885,7.92
Ren Zha Fanpai Zijiu Xitong,Novel,3,1884,7.92
Unholy Blood,Manhwa,8,17179,7.92
Ginga no Shinanai Kodomotachi e,Manga,2,1312,7.92
Shin Petshop of Horrors,Manga,12,6672,7.92
Black Lagoon,Light-Novel,2,3389,7.92
Kono Subarashii Sekai ni Shukufuku wo! Extra: Ano Orokamono ni mo Kyakkou wo!,Light-Novel,7,2821,7.92
Asobi Asobase,Manga,15,10029,7.92
Saver,Manhwa,17,6804,7.92
Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Manga,NULL,9892,7.92
Mx0,Manga,10,42543,7.92
Hana yori Dango,Manga,37,24857,7.92
.hack//AI Buster,Light-Novel,2,3858,7.91
Arte,Manga,NULL,12145,7.91
All You Need Is Kill,Light-Novel,1,12839,7.91
Konjiki no Gash!! 2,Manga,NULL,1508,7.91
Vivy: Fluorite Eye's Song,Manga,NULL,2456,7.91
Special A,Manga,17,40859,7.91
Baka to Test to Shoukanjuu,Light-Novel,18,8388,7.91
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,Light-Novel,NULL,5199,7.91
Out,Manga,NULL,16528,7.91
Rozen Maiden (2008),Manga,10,8441,7.91
Kara no Kyoukai: Mirai Fukuin - The Garden of Sinners/Recalled Out Summer,Light-Novel,1,2830,7.91
Kubo-san wa Mob wo Yurusanai,Manga,12,59919,7.91
Ichigo Mashimaro,Manga,NULL,7440,7.91
Navillera: Like a Butterfly,Manhwa,5,3820,7.91
Tenshi Kinryouku,Manga,20,25155,7.91
Saishuu Heiki Kanojo,Manga,7,16370,7.91
Sayonara Rose Garden,Manga,3,7788,7.91
Maoyuu Maou Yuusha,Light-Novel,5,7200,7.91
Sono Yubi dake ga Shitteiru,Manga,1,6887,7.91
Hakkenden: Touhou Hakken Ibun,Manga,NULL,4205,7.91
Zetsuen no Tempest,Manga,10,21034,7.91
Kitchen no Ohimesama,Manga,10,23345,7.91
Tobaku Datenroku Kaiji: Kazuya-hen,Manga,10,7617,7.91
Kiichi!!,Manga,9,5637,7.91
Moe Kare!!,Manga,7,24263,7.91
Kiba no Tabishounin: The Arms Peddler,Manga,7,9684,7.91
V.B. Rose,Manga,14,6074,7.91
Kamisama ga Uso wo Tsuku.,Manga,1,55439,7.91
Kimi no Iru Machi,Manga,27,69489,7.91
Odd Girl Out,Manhwa,NULL,4968,7.9
Jinrui wo Metsubou sasete wa Ikemasen,Manga,4,2733,7.9
Mademoiselle Butterfly,Manga,2,8692,7.9
Aishiteruze Baby★★,Manga,7,22033,7.9
Kagen no Tsuki,Manga,3,12529,7.9
Shinrei Tantei Yakumo: Akai Hitomi wa Shitteiru,Manga,2,6254,7.9
Rockman Gigamix,Manga,3,1041,7.9
Marie no Kanaderu Ongaku,Manga,2,12693,7.9
Higurashi no Naku Koro ni Kai - Dai 1-wa: Meakashi-hen,Light-Novel,2,1055,7.9
Bambino!,Manga,15,7112,7.9
Kimi to Natsu no Naka,Manga,2,6749,7.9
Moon: Subaru Solitude Standing,Manga,9,1937,7.9
Asper Kanojo,Manga,12,15053,7.9
Donten ni Warau Gaiden,Manga,3,5455,7.9
Deep Love: Pao no Monogatari,Manga,2,7838,7.9
Hime-chan no Ribbon,Manga,10,1600,7.9
Teenage Mercenary,Manhwa,NULL,20119,7.9
Uragiri wa Boku no Namae wo Shitteiru,Manga,13,11776,7.9
Hokuhokusei ni Kumo to Ike,Manga,NULL,7793,7.9
Clover,Manga,43,8454,7.9
Ao no Exorcist,Manga,NULL,151795,7.9
"Densha Otoko: Net Hatsu, Kakueki Teisha no Love Story",Manga,3,10167,7.9
Ouran Koukou Host Club,Light-Novel,2,3081,7.9
W-Juliet,Manga,14,9773,7.9
Hakushaku Cain Series,Manga,5,9404,7.9
Yoru wa Mijikashi Aruke yo Otome,Novel,1,1359,7.9
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 2-bu - Hon no Tame nara Miko ni Naru!,Manga,NULL,4643,7.9
Sachi-iro no One Room,Manga,11,41048,7.89
Hetalia Axis Powers,Manga,6,22038,7.89
Clannad,Manga,8,11082,7.89
Tsuiraku JK to Haijin Kyoushi,Manga,NULL,14189,7.89
K Side:Red,Light-Novel,1,2740,7.89
Mieruko-chan,Manga,NULL,80636,7.89
Battle Royale,Manga,15,69753,7.89
Chi.: Chikyuu no Undou ni Tsuite,Manga,8,3972,7.89
Ganbare! Nakamura-kun!!,Manga,1,26607,7.89
Seikai no Senki,Light-Novel,NULL,909,7.89
Oomuro-ke,Manga,NULL,4445,7.89
Fire Punch,Manga,8,159186,7.89
New Game!,Manga,13,21861,7.89
Roxana,Manhwa,NULL,6846,7.89
Hydra,Manga,3,3637,7.89
"Shuumatsu Nani Shitemasu kaNULL Mou Ichido dake, Aemasu kaNULL",Light-Novel,11,4534,7.89
Plastic Memories: Say to Good-bye,Manga,3,4279,7.89
A Business Proposal,Manhwa,10,7242,7.89
Gekijouban Sword Art Online: Ordinal Scale,Manga,5,3455,7.89
Maiko-san Chi no Makanai-san,Manga,NULL,5214,7.89
Shitsuji-sama no Okiniiri,Manga,21,11768,7.89
Kirihito Sanka,Manga,2,5997,7.89
Gekijouban Gintama: Kanketsu-hen - Yorozuya yo Eien Nare,Light-Novel,1,1642,7.89
Gekkou,Light-Novel,1,15064,7.89
Sousei no Onmyouji,Manga,NULL,46977,7.89
Amayo no Tsuki,Manga,NULL,1976,7.89
Kyou no Kira-kun,Manga,9,28440,7.88
